"pop1" "pop2" "pop3" "pop4" "pop5"
" Ptf1a" 37.592 41.0754 42.5859 36.9707 47.901
" Hspa12a" 35.0958 54.0159 42.0477 40.0167 46.9732
" BC035947" 36.9749 43.4129 39.9128 41.734 51.0003
" Tex101" 38.5318 48.3088 36.3745 33.9782 38.9463
" Slc18a1" 129.298 68.1124 27.0944 29.3103 35.2316
" H2-M10.3" 36.9915 44.259 38.8407 37.0263 47.129
" Elf4" 40.3981 49.2644 42.1038 40.404 50.3439
" Fam40b" 35.4376 69.0932 23.8098 23.1455 21.4669
" Gm9956" 42.7889 43.7593 40.7203 42.4513 49.2701
" 6030405A18Rik" 35.2135 47.7367 35.4133 33.964 40.5553
" Zfp532" 59.5593 51.6004 39.2208 34.3992 41.3021
" Gm10647" 32.5347 38.2741 49.182 33.9801 47.7307
" Susd4" 34.1357 42.9375 37.0922 33.6702 47.2992
" Gm14483" 45.2656 50.591 42.9713 61.1947 54.3695
" Irak1bp1" 45.8227 42.971 50.8583 59.7441 36.41
" Hdgfrp3" 70.4497 56.5814 41.935 38.7396 41.1093
" Sash1" 39.9344 47.3421 48.0391 39.3318 42.7213
" Kctd16" 40.5192 49.5163 42.9474 39.9329 43.0533
" Steap4" 46.9895 59.8916 388.175 79.6744 525.325
" Kif20b" 236.011 238.21 265.028 637.618 203.071
" Matn4" 42.2836 48.6096 39.7109 35.861 39.4295
" Gm10062" 37.7523 38.971 36.0542 49.5129 40.4878
" A930003A15Rik" 42.9692 54.796 39.9272 42.3697 41.3203
" Il1r2" 100.529 97.4397 30.7605 37.0054 40.0415
" Rapgefl1" 37.0898 49.0194 174.499 161.813 415.357
" Rab38" 88.6066 45.0152 36.4029 32.5823 31.3988
" Fut7" 121.581 90.1675 35.3954 44.3329 47.0716
" Nuf2" 414.121 431.608 616.966 1475.6 472.994
" Slco5a1" 42.6627 43.7012 51.6533 93.8167 74.0572
" Tchh" 40.8882 54.4393 39.2948 36.6171 43.0761
" 1190005I06Rik" 43.6011 55.8218 44.2683 44.6908 48.0923
" Dhrs13" 47.3387 41.1832 41.9322 33.8559 28.5718
" Cap2" 41.8257 48.4264 39.7504 45.4795 48.5843
" Vwc2" 39.7119 50.1615 37.2163 37.2918 45.4305
" Thbs2" 35.5886 39.6867 48.1094 41.1134 37.9639
" Celsr3" 49.175 58.4465 36.0839 42.1873 47.2163
" Sirpb1b" 76.0713 58.8111 32.5729 33.6619 34.7998
" AI836003" 39.7427 50.8207 32.2337 39.4524 43.9608
" Arg2" 66.0656 57.3091 30.493 32.2397 39.7297
" Brip1" 267.444 262.999 339.538 640.811 220.675
